Ti11e,S오ack [V],Cell-1 [V],Cell-2 [V],Cell-3 [V],Cell-4 [V],Cell-5 [V],Cell-6 [V],Cell-7 [V],Cell-8 [V],Cell-9 [V],Cell-10 [V],Cell-11 [V],Cell-12 [V],Cell-13 [V],Cell-14 [V],Curren오 [11V],T c4ip [C],AN0 [V],AN1 [V],AN2 [V],AN3 [V],AN4 [V],AN5 [V],AN6 [V],Vb서기 Dia서기 1A [V],Vb서기 Dia서기 1B [V],2aul오 S오a오u24 1 [1],2aul오 S오a오u24 2 [1],
16:11:25,67.78,4.733,4.697,4.768,4.720,4.691,4.968,4.786,4.872,4.910,4.964,4.905,4.954,4.845,4.967,139.019,43,3.820,2.565,2.563,2.534,2.515,2.495,2.472,1.181,1.181,0xD006,0x0000,
16:11:26,67.78,4.733,4.697,4.768,4.720,4.691,4.967,4.786,4.872,4.911,4.964,4.905,4.954,4.845,4.967,139.041,43,3.816,2.565,2.563,2.534,2.514,2.495,2.471,1.181,1.180,0xD006,0x0000,
16:11:27,67.782,4.733,4.698,4.768,4.720,4.690,4.967,4.786,4.872,4.911,4.964,4.906,4.955,4.845,4.967,139.040,43,3.817,2.565,2.562,2.534,2.515,2.495,2.472,1.181,1.181,0xD006,0x0000,
16:11:28,67.777,4.733,4.697,4.768,4.720,4.691,4.966,4.786,4.872,4.910,4.964,4.905,4.953,4.845,4.967,139.036,43,3.817,2.565,2.563,2.535,2.515,2.495,2.472,1.181,1.180,0xD006,0x0000,
16:11:30,67.778,4.733,4.697,4.768,4.720,4.689,4.967,4.785,4.872,4.911,4.965,4.905,4.953,4.845,4.968,139.046,43,3.805,2.566,2.562,2.535,2.515,2.495,2.472,1.181,1.180,0xD006,0x0000,
16:11:31,67.779,4.733,4.697,4.768,4.719,4.691,4.967,4.785,4.872,4.911,4.964,4.905,4.955,4.845,4.967,139.006,43,3.819,2.565,2.563,2.534,2.515,2.495,2.472,1.181,1.181,0xD006,0x0000,
16:11:32,67.777,4.733,4.697,4.767,4.719,4.690,4.967,4.786,4.872,4.911,4.964,4.906,4.954,4.844,4.967,139.046,43,3.818,2.565,2.563,2.535,2.515,2.495,2.472,1.181,1.181,0xD006,0x0000,
16:11:33,67.779,4.733,4.698,4.767,4.720,4.691,4.967,4.786,4.872,4.910,4.964,4.905,4.954,4.845,4.967,139.053,43,3.818,2.566,2.563,2.534,2.514,2.495,2.472,1.181,1.181,0xD006,0x0000,
16:11:34,67.779,4.733,4.697,4.768,4.720,4.690,4.967,4.786,4.872,4.910,4.964,4.906,4.955,4.844,4.967,139.003,43,3.831,2.565,2.562,2.534,2.515,2.495,2.472,1.181,1.181,0xD006,0x0000,
16:11:35,67.778,4.733,4.698,4.767,4.720,4.690,4.967,4.785,4.872,4.911,4.964,4.905,4.954,4.845,4.967,139.037,43,3.793,2.566,2.562,2.534,2.525,2.495,2.472,1.182,1.181,0xD006,0x0000,
